correct sentences,incorrect sentences
लगभग हजारो साल पहले मानव या होमो सेपियन्स अफ्रीका से भारतीय उपमहाद्वीप में पहुंचे थे।,लगभग हजरो साल पहले मानव या होमो सेपियन्स अफ्रीका से भारतय उपमहाद्वीप में पहुंचे थे।
मध्य प्रदेश की गुफाएँ भारत में मानव जीवन का प्राचीनतम प्रमाण हैं जो आज भी देखने को मिलता है।,मध्य प्रदेश की गुफएँ भरत में मानव जीवन का प्राचीनतम प्रमण हैं जो आज भी देखने को मिलता है।
"ईसा पूर्व तक आते आते मनुष्य ने खेती करना, जानवरों को पालना तथा घरों का निर्माण करना शुरू कर दिया था जिसका अवशेष मेहरगढ़ में मिला था जो कि अभी पाकिस्तान में है।","ईसा पूर्व तक आते आते मनष्य ने खत करना, जानवरों को पलन तथा घरो का निर्माण करना शुरू कर दिया था जिसका अवशेष मेहरगढ़ में मिला था जो कि अभी पाकिस्तान में है।"
"यह धीरे-धीरे सिंधु घाटी सभ्यता के रूप में विकसित हुए,जो की दक्षिण एशिया की सबसे प्राचीन शहरी सभ्यता है।","यह धीरे-धरे सिंधु घाटी सभ्यता के रूप में विकसत हुए,जो की दक्षण एशिया की सबसे प्राचीन शहरी सभ्यता है।"
यह वर्तमान पश्चिम भारत तथा पाकिस्तान में स्थित है।,यह वर्तमन पश्चिम भरत तथा पाकिस्तान में स्थित है।
"यह मोहनजोदड़ो, हड़प्पा, धोलावीरा, और कालीबंगा जैसे शहरों के आसपास केंद्रित थी और विभिन्न प्रकार के निर्वाह पर निर्भर थी, यहाँ व्यापक बाजार था तथा शिल्प उत्पादन होता था।","यह मोहनजोदड़ो, हड़प्पा, धोलावीरा, और कालीबंगा जैसे शहरों के आसपास केंद्रित थी और विभिन्न प्रकार के निर्वाह पर निर्भर थी, यहाँ व्यापक बाजर था तथा शिल्प उत्पादन होता था।"
ईसा पूर्व तक ताम्र पाषाण युग संस्कृति से लौह युग का आगमन हुआ।,ईसा पूर्व तक ताम् पाषाण युग संस्कृति से लौह युग का आगमन हुआ।
"इसी युग को हिन्दू धर्म से जुड़े प्राचीनतम धर्म ग्रंथ,[65] वेदों का रचनाकाल माना जाता है|","इसी युग को हिन्दू धर्म से जुड़े प्रचनतम धर्म ग्रंथ,[65] वेदों का रचनाकाल माना जाता है|"
पंजाब तथा गंगा के ऊपरी मैदानी क्षेत्र को वैदिक संस्कृति का निवास स्थान माना जाता है|,पंजाब तथा गंगा के ऊपरी मैदानी क्षत्र को वैदिक संस्कृति का निवास स्थान माना जाता है|
कुछ इतिहासकारों का मानना है की इसी युग में उत्तर-पश्चिम से भारतीय-आर्यन का आगमन हुआ था।,कुछ इतिहासकारों का मानना है की इसी यग में उत्तर-पश्चिम से भारतीय-आर्यन का आगमन हुआ था।
वैदिक सभ्यता में ईसा पूर्व छठवीं शताब्दी में गंगा के मैदानी क्षेत्र तथा उत्तर-पश्चिम भारत में छोटे-छोटे राज्य तथा उनके प्रमुख मिल कर सोलह कुलीन और राजशाही में सम्मिलित हुए जिन्हे महाजनपद के नाम से जाना जाता है।,वैदिक सभ्यता में ईसा पूर्व छठवीं शताब्दी में गंगा के मैदानी क्षत्र तथा उत्तर-पश्चिम भारत में छोटे-छोटे राज्य तथा उनके प्रमुख मिल कर सोलह कुलीन और राजशाही में सम्मिलित हुए जिन्हे महाजनपद के नाम से जाना जाता है।
बढ़ते शहरीकरण के बीच दो अन्य स्वतंत्र अ-वैदिक धर्मों का उदय हुआ।,बढ़ते शहरीकरण के बच दो अन्य स्वतंत्र अ-वैदिक धर्मों का उदय हुआ।
महावीर के जीवन काल में जैन धर्म अस्तित्व में आया|,महावीर के जीवन काल में जन धर्म अस्तित्व में आया|
